Objective,Algorithm,ScenarioID,Description,RiseTime,SettlingTime,OvershootPct,SteadyStateError,PeakTime,ObjectiveValue
ITAE,GA,S6,Up Mass-,1.2218495977646255,1.2833333333333332,0.0,0.06342061345679184,24.936579386543215,12033.524504422156
ITAE,GA,S7,Up Res+,1.6955930397317558,1.7666666666666666,0.0,0.073008096372007,24.926991903627993,13938.50327998785
ITAE,GA,S8,Down Normal,0.473693749229687,0.5,0.0,-0.025107139013034185,25.02510713901304,4736.757296282365
ITAE,GA,S9,Down Mass+,0.5104567922238523,0.5333333333333333,0.0,-0.02823707557007893,25.02823707557008,5327.7829996408345
ITAE,GA,S10,Down Mass-,0.4352158562324784,0.4666666666666667,0.0,-0.021977202261890483,25.021977202261883,4145.807780114232
ITAE,GA,S11,Down Res+,0.4854296106227016,0.5166666666666666,0.0,-0.021878374643680587,25.02187837464368,4131.009472688753
ITAE,HOA,S0,Normal,0.7331276348096615,0.7666666666666666,0.0,0.020264430066657013,24.97973556993335,3852.3654985678572
ITAE,HOA,S1,Mass+10%,0.823099084674635,0.8666666666666667,0.0,0.021735276567376616,24.97826472343262,4140.031611540503
ITAE,HOA,S2,Mass-10%,0.6463921410862707,0.6833333333333333,0.0,0.018793583604384878,24.981206416395615,3566.3048785675464
ITAE,HOA,S3,Res+20%,0.761501680604928,0.8,0.0,0.023206123106568555,24.976793876893428,4408.441199639256
ITAE,HOA,S4,Up Normal,1.5652555130358827,1.6333333333333333,0.0,0.06260929323276088,24.93739070676724,11954.396819046375
ITAE,HOA,S5,Up Mass+,2.0300620526188404,2.1166666666666667,0.0,0.06831462902153618,24.931685370978457,13151.991929477043
ITAE,HOA,S6,Up Mass-,1.2218495977646255,1.2833333333333332,0.0,0.05690395802270487,24.94309604197729,10809.723680957191
ITAE,HOA,S7,Up Res+,1.6955930397317558,1.7666666666666666,0.0,0.06550629752532089,24.934493702474672,12530.494068462987
ITAE,HOA,S8,Down Normal,0.473693749229687,0.5,0.0,-0.02252731014232623,25.02252731014233,4252.030036182586
ITAE,HOA,S9,Down Mass+,0.5104567922238523,0.5333333333333333,0.0,-0.025335637102845254,25.025335637102845,4782.640122882937
ITAE,HOA,S10,Down Mass-,0.4352158562324784,0.4666666666666667,0.0,-0.019718983041592253,25.0197189830416,3721.4975720532198
