Objective,ScenarioID,Description,Algorithm,Cost,TTC_Min,TET,TIT,Max_Jerk,ObjectiveValue
ITAE,S5,Up Mass+,PSO,930863.1308844008,17.379282118249694,0.0,0.0,67.31187285654815,1786211.1560252963
ITAE,S5,Up Mass+,SKA,930863.1308844008,17.379282118250572,0.0,0.0,67.31176036262204,1786211.1442795552
ITAE,S6,Up Mass-,KMA,930863.1308844008,17.04844140385336,0.0,0.0,77.04567544487847,1585373.614838542
ITAE,S6,Up Mass-,GA,930863.1308844008,17.0884666121293,0.0,0.0,75.19697440311505,1606752.4011248471
ITAE,S6,Up Mass-,HOA,930863.1308844008,17.04844140385336,0.0,0.0,77.7767529280224,1585643.1817082602
ITAE,S6,Up Mass-,PSO,930863.1308844008,17.04844140385336,0.0,0.0,77.04567858474283,1585373.6150956815
ITAE,S6,Up Mass-,SKA,930863.1308844008,17.048441403853506,0.0,0.0,77.04553761817063,1585373.603548548
ITAE,S7,Up Res+,KMA,930863.1308844008,17.1641049875632,0.0,0.0,80.61127572371512,1712207.408626397
ITAE,S7,Up Res+,GA,930863.1308844008,17.229730297566828,0.0,0.0,102.14747169797556,1737833.627301293
ITAE,S7,Up Res+,HOA,930863.1308844008,17.1641049875632,0.0,0.0,83.82208203498243,1712480.0508494463
ITAE,S7,Up Res+,PSO,930863.1308844008,17.1641049875632,0.0,0.0,80.61127879182817,1712207.4088866946
ITAE,S7,Up Res+,SKA,930863.1308844008,17.164104987563405,0.0,0.0,80.61114106309586,1712207.3971980866
ITAE,S8,Down Normal,KMA,930863.1308844008,17.68262397619264,0.0,0.0,136.5782905305342,1112530.9972461152
ITAE,S8,Down Normal,GA,930863.1308844008,17.738651285346208,0.0,0.0,147.2188271146374,1107448.1119715532
ITAE,S8,Down Normal,HOA,930863.1308844008,17.67623223737224,0.0,0.0,136.5782905305342,1112467.536518921
ITAE,S8,Down Normal,PSO,930863.1308844008,17.682623970085377,0.0,0.0,136.5782905305342,1112530.997176314
ITAE,S8,Down Normal,SKA,930863.1308844008,17.68262424424302,0.0,0.0,136.57829053058202,1112531.0003020628
ITAE,S9,Down Mass+,KMA,930863.1308844008,17.64259059528874,0.0,0.0,162.77254179760175,1110662.7295425362
ITAE,S9,Down Mass+,GA,930863.1308844008,17.675237851874048,0.0,0.0,134.131820964216,1103102.5274384525
ITAE,S9,Down Mass+,HOA,930863.1308844008,17.63938664552433,0.0,0.0,162.77254179760175,1110802.258536713
ITAE,S9,Down Mass+,PSO,930863.1308844008,17.64259059528874,0.0,0.0,162.77254179760175,1110662.7296614822
ITAE,S9,Down Mass+,SKA,930863.1308844008,17.642590595288674,0.0,0.0,162.77254179746456,1110662.724326221
ITAE,S10,Down Mass-,KMA,930863.1308844008,17.72917914350198,0.0,0.0,151.56529993367752,1115514.5028084302
ITAE,S10,Down Mass-,GA,930863.1308844008,17.775838916907844,0.0,0.0,130.5336450670921,1112291.9911427835
ITAE,S10,Down Mass-,HOA,930863.1308844008,17.722066050725886,0.0,0.0,151.56529993367752,1115337.3921920033
ITAE,S10,Down Mass-,PSO,930863.1308844008,17.729179136705195,0.0,0.0,151.56529993367752,1115514.5026356943
